player_id,kills,deaths,creep_score,gpm,neutral_tokens_found,tower_kills,wards_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,lotuses_grabbed,roshan_kills,teamfight_participation,stuns,tormentor_kills,first_blood,courier_kills
331855530,4,1,435,679.4946,5,1,0,1,2,1,0,0,0,0.61538464,34.93231,1,0,0
132851371,3,6,319,521.1152,2,0,0,9,2,2,0,0,1,0.7692308,21.466553,2,0,0
136829091,2,8,19,224.28674,0,0,12,3,4,5,4,4,0,0.84615386,34.033325,0,1,0
164199202,2,7,57,256.94006,1,0,3,3,3,4,1,0,0,0.7692308,73.6995,0,0,1
94054712,2,3,257,430.11728,7,0,1,0,4,0,0,0,0,0.3846154,9.066895,2,0,1
10366616,3,5,168,440.21906,0,0,11,0,5,9,3,8,0,0.6666667,2.0,2,0,1
100058342,6,3,387,674.8533,7,2,0,1,3,1,0,2,1,0.7083333,28.166498,0,0,1
898455820,8,2,279,577.5213,2,0,0,0,18,0,1,0,0,0.7083333,-1.6318505,2,0,0
183719386,6,2,326,581.88965,5,5,1,3,5,3,0,3,0,0.625,0.0,0,0,1
25907144,1,1,97,355.1184,1,0,5,4,7,4,2,0,0,0.75,15.566778,2,0,2

