player_name,team_name,player_role,stat_1,stat_2,stat_3,stat_4,stat_5,prefix,suffix,average,stddev
Saika,BB Team,Core,Red - GPM,Red - Creep Score,Red - Deaths,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,6845.071411044732,1089.1717977623393
Oli~,Aurora Gaming,Support,Blue - Smokes Used,Blue - Wards Placed,Blue - Lotuses Grabbed,Green - Teamfight Participation,Green - Tormentor Kills,Emerald,of the Ant,6637.248735764655,1496.5032001853285
23savage,Aurora Gaming,Core,Red - Creep Score,Red - GPM,Red - Deaths,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,6553.560734036868,1009.8780418094385
Pure,Tundra Esports,Core,Red - GPM,Red - Creep Score,Red - Neutral Tokens Found,Green - Teamfight Participation,Green - Roshan Kills,Dashing,of the Octopus,6535.316026964304,1418.7406807346115
No[o]ne-,Cloud9,Mid,Red - GPM,Red - Kills,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Coveted,of the Octopus,6504.561412728478,1169.1980071592752
医者watson`,Cloud9,Core,Red - GPM,Red - Neutral Tokens Found,Red - Creep Score,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,6434.593253558038,956.9418925828111
m1CKe,Team Liquid,Core,Red - GPM,Red - Creep Score,Red - Neutral Tokens Found,Green - Teamfight Participation,Green - Roshan Kills,Dashing,of the Octopus,6381.081649950059,1259.5203989570148
Nisha,Team Liquid,Mid,Red - GPM,Red - Deaths,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Coveted,of the Octopus,6374.523119003221,1426.1685388356238
skiter,Team Falcons,Core,Red - GPM,Red - Creep Score,Red - Tower Kills,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,6309.7193726137475,1316.4791067124768
Ame,Xtreme Gaming,Core,Red - GPM,Red - Creep Score,Red - Deaths,Green - Teamfight Participation,Green - Tormentor Kills,Dashing,of the Octopus,6209.815143495771,1094.8310291639255
Malr1ne,Team Falcons,Mid,Red - GPM,Red - Deaths,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Virtuoso,of the Octopus,6206.278810270632,957.2235936520955
Whitemon,Tundra Esports,Support,Blue - Smokes Used,Blue - Wards Placed,Blue - Watchers Taken,Green - Teamfight Participation,Green - Courier Kills,Canny,the Accomplice,5872.035178255562,1271.2969496787803
lorenof,Aurora Gaming,Mid,Red - GPM,Red - Creep Score,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Otherworldly,of the Octopus,5790.459980684005,964.4017826681195
Quinn,Gaimin Gladiators,Mid,Red - GPM,Red - Deaths,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Coveted,of the Octopus,5731.083603013072,1029.7709042128865
dyrachyo,Gaimin Gladiators,Core,Red - GPM,Red - Deaths,Red - Creep Score,Green - Teamfight Participation,Green - Tormentor Kills,Glamorous,of the Octopus,5657.40114045214,930.5590654504787
gpk~,BB Team,Mid,Red - GPM,Red - Deaths,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Coveted,of the Octopus,5563.872653214402,941.2937449733947
Sneyking,Team Falcons,Support,Blue - Wards Placed,Blue - Lotuses Grabbed,Blue - Watchers Taken,Green - Teamfight Participation,Green - Tormentor Kills,Elemental,the Accomplice,5561.156924335486,1271.8569193886187
Save-,BB Team,Support,Blue - Smokes Used,Blue - Wards Placed,Blue - Camps Stacked,Green - Teamfight Participation,Green - Stuns,Virtuoso,of the Octopus,5532.765227381349,1095.5380704726847
Xm,Xtreme Gaming,Mid,Red - GPM,Red - Deaths,Blue - Runes Grabbed,Green - Teamfight Participation,Green - Stuns,Otherworldly,of the Octopus,5516.584672109452,965.9868519042482
DM,Cloud9,Core,Red - Deaths,Red - GPM,Red - Creep Score,Green - Teamfight Participation,Green - Stuns,Bestial,of the Octopus,5436.931943281986,988.1766183624555
