player_name,team_name,player_role,average,stddev
Saika,BB Team,Core,5794.277893205096,921.9719840312903
Pure,Tundra Esports,Core,5712.749984129985,1240.1712125183947
23savage,Aurora Gaming,Core,5625.162504447213,866.8155107417168
医者watson`,Cloud9,Core,5574.839083990551,829.0806976693739
No[o]ne-,Cloud9,Mid,5501.3216826030175,988.8651885820941
Nisha,Team Liquid,Mid,5371.788409423878,1201.8272557461755
Oli~,Aurora Gaming,Support,5693.509852188649,1283.7180062538985
Whitemon,Tundra Esports,Support,5171.913199395151,1119.720382252165
Sneyking,Team Falcons,Support,4886.390564272782,1117.5353859931247
Fishman,Cloud9,Support,4839.278057500476,923.7813543275679
